time_s,u_mps,v_mps,w_mps,p_radps,q_radps,r_radps,q0,q1,q2,q3,north_m,east_m,altitude_m,canard_rad,elevon_left_rad,elevon_right_rad,rudder_rad,throttle
2.8,199.995650964,1.13538252211,0.107614748068,1.02428922051e-06,-0.000370989096087,-5.41183210009e-05,0.999993150021,-0.00312234422387,0.000441023473581,-0.00193813748521,559.999056503,2.57743475525,4999.9550075,0,0.0015495345673,0.0146107929085,0.0102357389804,0.142901810878
2.85,199.995719106,1.1105292764,0.106444079224,0.000286526023952,-0.00035612276704,-3.91459715574e-05,0.999993163151,-0.00311870205512,0.000431922302767,-0.00193927618297,569.998984045,2.59481207894,4999.95861532,0,0.00178827558595,0.0143770515778,0.0100131216497,0.142901372809
2.9,199.995790583,1.08601704883,0.105509449533,0.000538853031485,-0.000340788147226,-2.28318140689e-05,0.99999319768,-0.0031083435222,0.000423187228024,-0.00194002745063,579.998910343,2.61093660524,4999.96208906,0,0.00201271009901,0.0141566515006,0.00979351932294,0.142900854157
2.95,199.995865318,1.06183297016,0.104795666459,0.00076151053407,-0.000325121253968,-5.40898182305e-06,0.999993251039,-0.00309205335997,0.000414829833676,-0.00194036031226,589.998835616,2.62583315915,4999.96542447,0,0.0022242382029,0.0139482516453,0.0095769258779,0.142900261502
3,199.995943198,1.03796598142,0.104287375242,0.000957631819352,-0.000309246075534,1.29018354273e-05,0.999993320839,-0.0030705334125,0.000406858276088,-0.00194024951029,599.998760078,2.63952652295,4999.96861837,0,0.00242411022223,0.0137506617853,0.00936330660994,0.142899600989
3.05,199.996024077,1.01440672903,0.103969222523,0.00113001696855,-0.000293274910158,3.18957072837e-05,0.999993404877,-0.00304441143882,0.000399277597953,-0.00193967514509,609.998683934,2.65204141345,4999.97166853,0,0.00261344149616,0.01356282706,0.00915260810608,0.142898878356
3.1,199.996107784,0.991147428069,0.103825997082,0.00128116786272,-0.000277308804024,5.1385528279e-05,0.999993501135,-0.00301424899751,0.000392090031484,-0.00193862224853,619.998607383,2.66340246109,4999.97457363,0,0.00279322607418,0.0133838137025,0.00894476603994,0.142898098956
3.15,199.996194127,0.968181706525,0.103842749454,0.001413319758,-0.000261438059408,7.12030722895e-05,0.999993607779,-0.00298054849963,0.000385295288436,-0.00193708031971,629.998530616,2.67363419086,4999.97733321,0,0.00296434932454,0.0132127959284,0.00873971117842,0.14289726779
3.2,199.996282897,0.945504440254,0.104004892302,0.00152846970914,-0.000245742789936,9.11992481814e-05,0.999993723146,-0.00294375951224,0.000378890835537,-0.0019350428453,639.998453814,2.68276100471,4999.97994752,0,0.00312759947648,0.0130490439618,0.00853737387312,0.142896389526
3.25,199.996373873,0.923111586565,0.104298283316,0.00162840210779,-0.000230293504528,0.000111243742179,0.999993845739,-0.00290428438795,0.000372872154434,-0.00193250682194,649.998377151,2.6908071652,4999.98241754,0,0.003283678131,0.0128919131575,0.00833768728834,0.142895468527
3.3,199.996466826,0.901000022187,0.104709292397,0.00171471158826,-0.000215151705608,0.000131224206239,0.999993974215,-0.00286248328946,0.00036723298568,-0.00192947229405,659.998300789,2.69779678056,4999.98474485,0,0.0034332097864,0.0127408341701,0.00814058959302,0.14289450887
3.35,199.99656152,0.87916738988,0.1052248548,0.00178882353898,-0.000200370490338,0.000151045126907,0.999994107372,-0.00281867867185,0.000361965556619,-0.00192594191645,669.998224882,2.70375379071,4999.98693158,0,0.00357675043204,0.0125953041113,0.00794602531925,0.14289351437
3.4,199.996657716,0.857611956525,0.105832511771,0.00185201244286,-0.000185995146327,0.000170626486129,0.999994244142,-0.00277315927977,0.000357060793264,-0.00192192054833,679.998149574,2.7087019544,4999.98898037,0,0.00371479526972,0.0124548786296,0.00775394606426,0.142892488597
3.45,199.996755176,0.836332484486,0.106520440177,0.00190541825503,-0.000172063735308,0.000189902304676,0.999994383574,-0.00272618371109,0.000352508516476,-0.00191741488264,689.998075,2.71266483737,4999.99089428,0,0.00384778562486,0.0123191648469,0.00756431068863,0.142891434894
